subj_idx,species,coh,rt,response,subjectID
238,human,0.12,0.830502,1,459
238,human,0.32,0.580612,1,459
238,human,0.32,0.547064,1,459
238,human,0.02,1.913549,1,459
238,human,0.06,0.680773,1,459
238,human,0.08,0.597252,1,459
238,human,0.04,1.04687,1,459
238,human,0.06,0.930281,1,459
238,human,0.02,1.463518,1,459
238,human,0.08,0.747312,1,459
238,human,0.04,0.797089,1,459
238,human,0.32,0.547799,1,459
238,human,0.24,0.546972,1,459
238,human,0.06,1.014038,1,459
238,human,0.02,1.563255,0,459
238,human,0.08,1.197289,1,459
238,human,0.12,0.631037,1,459
238,human,0.02,1.246811,1,459
238,human,0.08,0.830475,1,459
238,human,0.06,0.614408,0,459
238,human,0.32,0.597454,1,459
238,human,0.16,0.613871,1,459
238,human,0.12,0.580606,1,459
238,human,0.08,1.380097,1,459
238,human,0.06,0.597408,1,459
238,human,0.06,1.113894,1,459
238,human,0.02,2.046766,0,459
238,human,0.04,0.91424,1,459
238,human,0.24,0.613791,1,459
238,human,0.02,0.563987,1,459
238,human,0.08,0.563757,1,459
238,human,0.12,0.630869,1,459
238,human,0.12,1.59726,1,459
238,human,0.06,0.747491,1,459
238,human,0.04,2.696495,0,459
238,human,0.02,3.345941,1,459
238,human,0.02,1.296981,0,459
238,human,0.06,0.764362,1,459
238,human,0.12,0.830267,0,459
238,human,0.04,0.997498,1,459
238,human,0.06,0.796984,1,459
238,human,0.08,0.597078,1,459
238,human,0.16,0.547567,1,459
238,human,0.06,0.680984,1,459
238,human,0.12,0.597529,1,459
238,human,0.04,3.096456,1,459
238,human,0.16,0.563765,1,459
238,human,0.16,0.638046,1,459
238,human,0.32,0.513646,1,459
238,human,0.06,2.51279,0,459
238,human,0.04,0.76407,1,459
238,human,0.24,0.547522,1,459
238,human,0.06,0.647508,1,459
238,human,0.08,0.947311,1,459
238,human,0.32,0.547558,1,459
238,human,0.16,0.747591,1,459
238,human,0.04,0.780619,1,459
238,human,0.32,0.54741,1,459
238,human,0.02,1.613287,0,459
238,human,0.04,0.88096,0,459
238,human,0.04,0.747409,1,459
238,human,0.06,0.663973,0,459
238,human,0.12,0.780761,1,459
238,human,0.12,0.980892,1,459
238,human,0.04,2.862612,0,459
238,human,0.06,1.080805,1,459
238,human,0.02,1.663291,1,459
238,human,0.06,0.980846,1,459
238,human,0.08,0.896972,1,459
238,human,0.08,1.046887,1,459
238,human,0.06,1.180531,1,459
238,human,0.16,0.647262,1,459
238,human,0.32,0.563745,1,459
238,human,0.04,1.098467,0,459
238,human,0.16,0.614208,1,459
238,human,0.12,0.647761,1,459
238,human,0.06,0.997483,1,459
238,human,0.06,0.74711,1,459
238,human,0.04,1.130234,1,459
238,human,0.16,0.630598,1,459
238,human,0.04,2.49634,1,459
238,human,0.06,0.580817,1,459
238,human,0.16,0.614016,1,459
238,human,0.06,0.73076,1,459
238,human,0.12,0.614204,1,459
238,human,0.02,1.247223,1,459
238,human,0.24,0.530692,1,459
238,human,0.12,0.680645,1,459
238,human,0.04,2.079669,0,459
238,human,0.24,0.61439,1,459
238,human,0.04,0.647297,1,459
238,human,0.06,0.697595,1,459
238,human,0.04,0.614016,1,459
238,human,0.06,0.547323,1,459
238,human,0.32,0.547115,1,459
238,human,0.06,0.880668,1,459
238,human,0.04,2.329949,0,459
238,human,0.06,1.346771,1,459
238,human,0.32,1.296942,1,459
238,human,0.04,1.197241,1,459
238,human,0.02,0.980376,1,459
238,human,0.06,0.697253,1,459
238,human,0.06,0.747596,1,459
238,human,0.02,0.830319,1,459
238,human,0.02,0.797524,0,459
238,human,0.06,0.830836,1,459
