subj_idx,species,coh,rt,response,subjectID
8,rat,0.9,1.027495,1,381
8,rat,0.6,0.587567,0,381
8,rat,0.8,0.637624,1,381
8,rat,0.6,0.957557,1,381
8,rat,1,0.757531,1,381
8,rat,0.8,0.767484,1,381
8,rat,1,0.807529,1,381
8,rat,0.6,0.487549,1,381
8,rat,0.8,0.707438,0,381
8,rat,0.6,0.727516,1,381
8,rat,0.7,1.007526,1,381
8,rat,1,1.137537,1,381
8,rat,1,0.937518,1,381
8,rat,0.6,1.057538,1,381
8,rat,0.9,1.357507,1,381
8,rat,0.8,0.707561,1,381
8,rat,1,0.847543,1,381
8,rat,1,0.897498,0,381
8,rat,0.9,0.557514,1,381
8,rat,0.7,0.55728,0,381
8,rat,0.8,0.617539,1,381
8,rat,0.6,1.117511,1,381
8,rat,0.7,0.757562,0,381
8,rat,0.9,0.887539,1,381
8,rat,0.7,0.667612,0,381
8,rat,0.7,1.107439,1,381
8,rat,1,0.837538,1,381
8,rat,0.7,0.587481,1,381
8,rat,1,0.837504,1,381
8,rat,0.8,0.797552,0,381
8,rat,0.9,0.807528,1,381
8,rat,0.7,0.67756,0,381
8,rat,0.8,0.597539,0,381
8,rat,0.8,0.797457,1,381
8,rat,0.9,0.707494,0,381
8,rat,0.6,0.757484,1,381
8,rat,0.8,0.827465,1,381
8,rat,0.9,1.347574,1,381
8,rat,1,1.147508,1,381
8,rat,0.9,0.817498,1,381
8,rat,1,0.627565,1,381
8,rat,0.8,2.0075,1,381
8,rat,0.7,0.607446,1,381
8,rat,0.7,1.16755,1,381
8,rat,1,0.987483,1,381
8,rat,1,1.057461,1,381
8,rat,1,0.807453,0,381
8,rat,1,2.067468,1,381
8,rat,0.7,1.777522,1,381
8,rat,0.6,1.647482,0,381
8,rat,0.6,0.777546,0,381
8,rat,0.6,0.64756,1,381
8,rat,0.7,0.497485,0,381
8,rat,1,0.647506,1,381
8,rat,0.6,0.867512,1,381
8,rat,1,0.727572,1,381
8,rat,1,0.607574,0,381
8,rat,0.6,0.647525,1,381
8,rat,0.6,0.70747,1,381
8,rat,1,1.017523,1,381
8,rat,0.8,1.417498,0,381
8,rat,1,1.317504,1,381
8,rat,1,0.867487,0,381
8,rat,0.8,0.877602,1,381
8,rat,0.7,0.767455,1,381
8,rat,0.6,0.757178,1,381
8,rat,0.7,0.987489,1,381
8,rat,0.7,0.907437,1,381
8,rat,0.8,0.777422,0,381
8,rat,1,0.667474,1,381
8,rat,0.6,0.66751,1,381
8,rat,0.8,0.527445,1,381
8,rat,0.8,0.847506,1,381
8,rat,0.7,0.627513,1,381
8,rat,1,0.677543,1,381
8,rat,1,0.617617,1,381
8,rat,0.8,0.947423,1,381
8,rat,0.6,1.757465,0,381
8,rat,0.6,0.727485,1,381
8,rat,1,0.817469,1,381
8,rat,1,0.637521,1,381
8,rat,0.7,0.817449,0,381
8,rat,0.6,0.926959,1,381
8,rat,1,0.787538,1,381
8,rat,0.7,0.747565,1,381
8,rat,0.7,0.667582,1,381
